// File: CesarData5.txt
// Data file for SeaPort projects
// Date: Wed Oct 12 08:52:41 EDT 2016
// parameters: 3 6 10 10 6 10
//   ports, docks, pships, cships, jobs, persons

// port   name index parent(null)
//    port   <string> <int> <int>
port Hairaton 10001 0
port Cologno_Monzese_(Inland_Point) 10002 0
port Benguela 10000 0

// dock   name index parent(port)
//    dock   <string> <int> <int>
  dock Pier_13 20013 10001 30015
  dock Pier_20 20020 10002 30022
  dock Pier_3 20003 10000 30003
  dock Pier_15 20015 10001 30017
  dock Pier_23 20023 10002 30025
  dock Pier_17 20017 10001 30019
  dock Pier_9 20009 10001 30011
  dock Pier_26 20026 10002 30028
  dock Pier_22 20022 10002 30024
  dock Pier_14 20014 10001 30016
  dock Pier_0 20000 10000 30000
  dock Pier_7 20007 10000 30007
  dock Pier_12 20012 10001 30014
  dock Pier_19 20019 10002 30021
  dock Pier_10 20010 10001 30012
  dock Pier_27 20027 10002 30029
  dock Pier_6 20006 10000 30006
  dock Pier_18 20018 10002 30020
  dock Pier_24 20024 10002 30026
  dock Pier_4 20004 10000 30004
  dock Pier_16 20016 10001 30018
  dock Pier_8 20008 10001 30010
  dock Pier_25 20025 10002 30027
  dock Pier_5 20005 10000 30005
  dock Pier_21 20021 10002 30023
  dock Pier_11 20011 10001 30013
  dock Pier_1 20001 10000 30001
  dock Pier_2 20002 10000 30002

// pship  name index parent(dock/port) weight length width draft numPassengers numRooms numOccupied
//    pship  <string> <int> <int> <double> <double> <double> <double> <int> <int> <int>
    pship            Epicycles 30020 20018 97.11 135.50 81.91 42.54 619 192 192
    pship           Orphanages 30026 20024 201.69 271.60 67.16 25.02 1044 672 522
    pship             Infested 30024 20022 192.02 151.79 36.06 43.89 579 555 289
    pship               Duping 30010 20008 237.78 307.34 41.81 43.15 558 437 279
    pship               Squirt 30014 20012 191.09 240.28 51.34 17.50 315 158 157
    pship         Lactobacilli 30003 20003 213.28 295.71 125.70 27.67 3026 1009 1009
    pship             Chastest 30018 20016 175.31 157.32 103.19 34.53 807 575 403
    pship         Veterinaries 30002 20002 87.34 329.82 112.22 18.18 19 940 9
    pship              Beadier 30013 20011 116.90 101.21 84.06 28.80 1228 1036 614
    pship            Venerably 30007 20007 180.24 473.38 123.58 33.55 1699 852 849
    pship              Auroral 30005 20005 165.50 264.32 57.48 21.49 387 201 193
    pship                Zebus 30021 20019 108.64 444.71 73.23 43.62 709 338 338
    pship           Simulation 30016 20014 179.38 240.32 80.39 32.35 1844 511 511
    pship             Crackled 30017 20015 226.02 314.55 34.59 22.81 2429 1088 1088
    pship           Affordable 30029 20027 107.15 200.02 51.64 34.07 1372 698 686
    pship          Overflights 30022 20020 149.78 323.35 68.50 35.59 2957 912 912
    pship            Scalloped 30011 20009 217.08 167.40 113.17 40.19 3254 917 917
    pship             Narwhals 30004 20004 215.20 355.68 114.08 15.64 1207 329 329
    pship              Lamming 30027 20025 171.72 473.04 61.79 26.84 358 297 179
    pship       Unsuitableness 30006 20006 113.04 223.62 42.15 42.70 808 283 283
    pship             Salesman 30012 20010 206.20 336.43 76.05 15.51 2 739 1
    pship               Tanked 30015 20013 126.38 367.64 123.52 34.36 751 511 375
    pship            Basilicas 30000 20000 222.16 475.47 124.67 20.54 994 815 497
    pship      Unpronounceable 30019 20017 206.00 198.06 128.02 28.13 1583 558 558
    pship            Cleopatra 30001 20001 134.24 101.95 45.77 27.85 233 1077 116
    pship                 Bars 30028 20026 188.85 102.33 72.88 28.02 1865 609 609
    pship             Titmouse 30023 20021 81.11 392.54 49.40 19.47 268 274 134
    pship           Visibility 30008 10000 166.57 233.84 105.26 22.08 506 640 253
    pship           Balustered 30025 20023 67.05 409.52 122.77 39.19 662 286 286
    pship       Reinvigoration 30009 10000 233.90 234.65 30.52 30.22 849 267 267

// cship  name index parent(dock/port) weight length width draft cargoWeight cargoVolume cargoValue
//    cship  <string> <int> <int> <double> <double> <double> <double> <double> <double> <double>
